Summary,Issue Type,Status,Project name,Project type,Description
Site Info: Parent site has no sub site link,Bug,Open,Sakai,software,"This is working correctly in 22x. In 24 and 23, when setting the parent course, there is no sub site link and both courses continue to display in the navigation. Possibly this is why the issue with breadcrumbs in [https://sakaiproject.atlassian.net/browse/SAK-49165|https://sakaiproject.atlassian.net/browse/SAK-49165|smart-link] exists?

See [https://trunk-maria.nightly.sakaiproject.org/portal/help/TOCDisplay/content.hlp?docId=howdoilinktoaparentsite|https://trunk-maria.nightly.sakaiproject.org/portal/help/TOCDisplay/content.hlp?docId=howdoilinktoaparentsite|smart-link] 

There were some lines in the server logs:

Site 101: b506ef27-d490-418b-bad3-81d434a1f1ed
Site 201: da5fa074-a419-4876-8db8-202fd1aaff85

{noformat}11-Oct-2023 19:18:17.932 INFO [http-nio-20313-exec-24] o.s.c.s.s.SectionManagerImpl.syncSections Synchronizing internal sections with externally defined sections in site da5fa074-a419-4876-8db8-202fd1aaff85

11-Oct-2023 19:18:18.018 INFO [http-nio-20313-exec-24] o.s.c.s.s.SectionManagerImpl.syncSections Synchronizing internal sections with externally defined sections in site da5fa074-a419-4876-8db8-202fd1aaff85

11-Oct-2023 19:18:18.169 INFO [http-nio-20313-exec-24] o.s.c.s.s.SectionManagerImpl.syncSections Synchronizing internal sections with externally defined sections in site da5fa074-a419-4876-8db8-202fd1aaff85

11-Oct-2023 19:18:18.239 INFO [http-nio-20313-exec-24] o.s.c.s.s.SectionManagerImpl.syncSections Synchronizing internal sections with externally defined sections in site da5fa074-a419-4876-8db8-202fd1aaff85
{noformat}"
When editing Preferences locks are not being cleared,Bug,Closed,Sakai,software,"Warnings about duplicate locks are appearing in the logs for Preferemces.

{noformat}01-Oct-2023 09:28:43.148 WARN [http-nio-20313-exec-18] o.s.d.i.BasicSqlService.dbWriteCount Sql.dbWrite(): recordAlreadyExists: true, failQuiet: 1, : error code: 1062, sql: insert into SAKAI_LOCKS (TABLE_NAME,RECORD_ID,LOCK_TIME,USAGE_SESSION_ID) values (?, ?, ?, ?), binds:  SAKAI_PREFERENCES -541706085 - 23058466-078f-46ea-a7ce-b2ab167766c5 20231001132843126 dcfaa64f-ae89-42a7-a462-bd3eeeacee4d, error: java.sql.SQLIntegrityConstraintViolationException: (conn=69459) Duplicate entry 'SAKAI_PREFERENCES--541706085 - 23058466-078f-46ea-a7ce-b2ab16...' for key 'SAKAI_LOCKS_INDEX'
01-Oct-2023 09:28:43.148 WARN [http-nio-20313-exec-2] o.s.d.i.BasicSqlService.dbWriteCount Sql.dbWrite(): recordAlreadyExists: true, failQuiet: 1, : error code: 1062, sql: insert into SAKAI_LOCKS (TABLE_NAME,RECORD_ID,LOCK_TIME,USAGE_SESSION_ID) values (?, ?, ?, ?), binds:  SAKAI_PREFERENCES -541706085 - 23058466-078f-46ea-a7ce-b2ab167766c5 20231001132843126 dcfaa64f-ae89-42a7-a462-bd3eeeacee4d, error: java.sql.SQLIntegrityConstraintViolationException: (conn=69467) Duplicate entry 'SAKAI_PREFERENCES--541706085 - 23058466-078f-46ea-a7ce-b2ab16...' for key 'SAKAI_LOCKS_INDEX'{noformat}

This indicates that the locks are not being cleared on the previous edit for preferences.

Itâ€™s not clear which action has not been clearing the locks, so in this issue we go through all the locations preferences are being edited and ensure that the edit is either canceled on an exception or that it is committed in finally. "
"Gradebook > Grade Release Rules > Points: Highlight color of preview needs to be adjusted, dark mode is unreadable",Bug,Closed,Sakai,software,"When going to Gradebook > Settings > Grade Release Rules and checking the Points checkbox, a Preview is shown with a bright blue background. This makes it hard to see the text and it is much worse when using dark mode."
Update Apache Tomcat  9.0.81,Bug,Closed,Sakai,software,"h3. Tomcat 9.0.81 Released

The Apache Tomcat Project is proud to announce the release of version 9.0.81 of Apache Tomcat. This release implements specifications that are part of the Java EE 8 platform. The notable changes compared to 9.0.81 include:

* Update Tomcat Native to 1.2.39 to pick up Windows binaries built with OpenSSL 3.0.11.
* Provide a lifecycle listener that will automatically reload TLS configurations a set time before the certificate is due to expire. This is intended to be used with third-party tools that regularly renew TLS certificates.
* Improve performance of EL expressions in JSPs that use implicit objects.
* Several improvements to thread safety and recycling cleanup.

Full details of these changes, and all the other changes, are available in the [Tomcat 9 changelog|https://tomcat.apache.org/tomcat-9.0-doc/changelog.html#Tomcat_9.0.81_(remm)]"
Samigo: Export pool and clicking Cancel displays a console error - SPNR is not defined,Bug,Verified,Sakai,software,"The ability to export a Question Pool is now on trunk, thanks to [https://sakaiproject.atlassian.net/browse/S2U-25|https://sakaiproject.atlassian.net/browse/S2U-25|smart-link]. However, there is a console error when clicking Cancel on the export page.

{noformat}editPool:1156  Uncaught ReferenceError: SPNR is not defined
    at HTMLInputElement.onclick (/portal/site/4e9030ef-43a3-42cf-be8a-bb64c125a592/tool/a16f12f1-ac36-436d-97c8-2068960d75e1/jsf/questionpool/editPool:1156:277){noformat}"
No ability to delete files from drop box,Bug,Resolved,Sakai,software,"Somehow organizers in project sites do not have permission to delete files from dropbox, once files are distributed, which is inconvenient if a file is accidentally uploaded that is not the correct one.



This feature is available in the regular sites, just not project sites.  Our instructors and staff love using project sites.



!image-20231009-201255.png|width=1621,height=481!"
Assignments: New event for student saving peer review,Improvement,Resolved,Sakai,software,"I noticed this when reviewing event logs for a student where there was a peer assessment. There did not appear to be an event for the student saving a peer assessment. There was the asn.read.submission when the student viewed their assigned peer review. There was a content.new event if they uploaded a file for feedback. But there was not an event that was clear when they saved the peer review.

I propose two events - asn.save.peer and asn.submit.peer (or whichever codes work best, I was trying to follow the existing asn.save.submission and asn.submit.submission).

asn.save.peer - Student clicks the Save button on the peer assessment

asn.submit.peer - Student clicks the Submit button on the peer assessment"
Discussion: acessing some tabs directly while not not logged in results in MissingResourceException,Bug,Closed,Sakai,software,"Steps to reproduce:

* get link for Notifications (dfWatchSettings) or Template Settings (dfTemplateSettings) Tab in Discussion tool: e.g. https://trunk-maria.nightly.sakaiproject.org/portal/site/VUXM_112S_1480/tool/4c37cfa9-ccfe-4c08-87c6-e26888c14541/discussionForum/area/dfTemplateSettings
* Log out and access link.
* After giving the credentials the page appears with missing key exceptions (see attachment)"
Roster: Parsing a potentially infinite object to JSON,Bug,Closed,Sakai,software,"A USER which has an attribute createBy or modifiedBy that is not a String (with the ID of the user) is another USER object that in turn... and so on to infinity... 

It will be throwing the JPA object directly to parse to JSON... and of course as in JPA that is lazy... if you don't ask for the createBy property it will NEVER create that second user... But when parsing to JSON the parser does look for ALL THE PROPERTIES...

It is possible that ROSTER does not use the createdBy or the modifiedBy of the user for anything, but it spends hours of CPU in mapping recursively to JSON.

!image-20231009-090734.png|width=938,height=999!"
Samigo: Console errors on Event Logs page if there are no quizzes available,Bug,Verified,Sakai,software,"If there are no quizzes available to display on the Event Logs page, loading the page displays a console error. Currently this is not an issue on 23 & 22. Believe this is  side affect of [https://sakaiproject.atlassian.net/browse/S2U-24|https://sakaiproject.atlassian.net/browse/S2U-24|smart-link] 

{noformat}dataTables.js:24  Table with id eventLogId:eventLogTable not found
setupDataTable @ dataTables.js:24
(anonymous) @ mainIndex:145
i @ jquery.js:3232
fireWith @ jquery.js:3362
ready @ jquery.js:3582
K @ jquery.js:3617{noformat}"
Samigo: Event Log > Filter by assessment drop-down not wide enough,Bug,Open,Sakai,software,Believe this is a side affect of [https://sakaiproject.atlassian.net/browse/S2U-24|https://sakaiproject.atlassian.net/browse/S2U-24|smart-link] The drop-down on the Event Logs page for Filter by Assessment is not wide enough to accommodate the text â€œAll assessmentsâ€.
GB: Import csv or excel file console error - Cannot read properties of undefined (reading 'charAt'),Bug,Open,Sakai,software,"When importing a GB file (doesnâ€™t matter if itâ€™s csv or xlsx) there is a console error. The grade imports, but the console error is there whether the file is imported or the user clicks to cancel.

{noformat}VM1393 vendor.bundle.js:2  Uncaught TypeError: Cannot read properties of undefined (reading 'charAt')
    at o (VM1393 vendor.bundle.js:2:255657)
    at VM1393 vendor.bundle.js:2:255703
    at 38338 (VM1393 vendor.bundle.js:2:255815)
    at r (VM1394 content.bundle.js:61:107850)
    at 14387 (VM1393 vendor.bundle.js:2:243998)
    at r (VM1394 content.bundle.js:61:107850)
    at 73141 (VM1393 vendor.bundle.js:2:252307)
    at r (VM1394 content.bundle.js:61:107850)
    at 9212 (VM1393 vendor.bundle.js:2:251795)
    at r (VM1394 content.bundle.js:61:107850)
{noformat}"
External Tools (LTI): Add custom icon input too wide,Bug,Closed,Sakai,software,"On 24 & 23, when adding an LTI tool, the Choose a custom icon text field is extremely wide compared to the rest of the fields on the page. On 22x, the field is the same size as the other text fields. Also, once an icon has been selected, it is not possible to clear the text field (also affects 22x). 

Not sure why there is such a difference between 24 & 22, the html code looks to be the same:
24x:
<div id=""div_fa_icon"" class=""input-group iconpicker-container""><span class=""input-group-addon""><i class=""fa ""></i></span><input type=""text"" id=""fa_icon"" name=""fa_icon"" size=""40"" style=""border:1px solid #555;padding:5px;font-size:1em;width:300px"" value="""" readonly="""" class=""form-control icp icp-auto iconpicker-element iconpicker-input""></div>

22x:
<div id=""div_fa_icon"" class=""input-group iconpicker-container""><span class=""input-group-addon""><i class=""fa ""></i></span><input type=""text"" id=""fa_icon"" name=""fa_icon"" size=""40"" style=""border:1px solid #555;padding:5px;font-size:1em;width:300px"" value="""" readonly="""" class=""form-control icp icp-auto iconpicker-element iconpicker-input""></div>"
LTI: Stacktrace when trying to add a Learning App in Lessons,Bug,Closed,Sakai,software,"Adding a Learning App and trying to launch the lti â€œstoreâ€ gives an internal server error. This was working a couple of weeks ago, so not sure what changed. 22x is fine.

{noformat}07-Oct-2023 11:24:33.793 WARN [http-nio-20023-exec-40] o.s.p.u.ErrorReporter.logAndMail Bug Report bug-id: c4718c46-cc9e-4067-aa60-864aa49c2dc0 user: 1f435576-fc8c-4c3c-ac49-11b08a98f654 usage-session: 65ceae9d-04af-4a85-840f-c59234abad36 time: Oct 7, 2023, 11:24:33 AM EDT user comment: null stack trace

org.sakaiproject.portal.api.PortalHandlerException: org.sakaiproject.tool.api.ToolException: java.lang.reflect.InvocationTargetException

    at org.sakaiproject.portal.charon.SkinnableCharonPortal.doGet(SkinnableCharonPortal.java:817)

caused by: org.sakaiproject.tool.api.ToolException: java.lang.reflect.InvocationTargetException

    at org.sakaiproject.cheftool.ToolServlet.doGet(ToolServlet.java:234)

caused by: java.lang.reflect.InvocationTargetException

    at jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)

caused by: java.lang.StringIndexOutOfBoundsException: String index out of range: 63

    at java.lang.StringLatin1.charAt(StringLatin1.java:47)

    at java.lang.String.charAt(String.java:693)

    at org.tsugi.util.Base62.encode(Base62.java:61)

    at org.sakaiproject.blti.tool.LTIAdminTool.buildContentConfigPanelContext(LTIAdminTool.java:2561)

    at jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)

    at jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)

    at jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)

    at java.lang.reflect.Method.invoke(Method.java:566)

    at org.sakaiproject.cheftool.VelocityPortletPaneledAction.toolModeDispatch(VelocityPortletPaneledAction.java:409)

    at org.sakaiproject.cheftool.ToolServlet.doGet(ToolServlet.java:234)

    at org.sakaiproject.cheftool.VelocityPortletPaneledAction.doGet(VelocityPortletPaneledAction.java:1098)

    at javax.servlet.http.HttpServlet.service(HttpServlet.java:529)

    at org.sakaiproject.vm.ComponentServlet.service(ComponentServlet.java:56)

    at javax.servlet.http.HttpServlet.service(HttpServlet.java:623)

    at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:209)

    at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153)

    at org.apache.catalina.core.ApplicationDispatcher.invoke(ApplicationDispatcher.java:661)

    at org.apache.catalina.core.ApplicationDispatcher.processRequest(ApplicationDispatcher.java:425)

    at org.apache.catalina.core.ApplicationDispatcher.doForward(ApplicationDispatcher.java:330)

    at org.apache.catalina.core.ApplicationDispatcher.forward(ApplicationDispatcher.java:294)

    at org.sakaiproject.tool.impl.ActiveToolComponent$MyActiveTool.help(ActiveToolComponent.java:578)

    at org.sakaiproject.cheftool.ToolServlet.sendToHelper(ToolServlet.java:675)

    at org.sakaiproject.cheftool.ToolServlet.doGet(ToolServlet.java:219)

    at org.sakaiproject.cheftool.VelocityPortletPaneledAction.doGet(VelocityPortletPaneledAction.java:1098)

    at javax.servlet.http.HttpServlet.service(HttpServlet.java:529)

    at org.sakaiproject.vm.ComponentServlet.service(ComponentServlet.java:56)

    at javax.servlet.http.HttpServlet.service(HttpServlet.java:623)

    at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:209)

    at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153)

    at org.sakaiproject.util.RequestFilter.doFilter(RequestFilter.java:450)

    at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:178)

    at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153)

    at org.apache.catalina.core.ApplicationDispatcher.invoke(ApplicationDispatcher.java:661)

    at org.apache.catalina.core.ApplicationDispatcher.processRequest(ApplicationDispatcher.java:425)

    at org.apache.catalina.core.ApplicationDispatcher.doForward(ApplicationDispatcher.java:330)

    at org.apache.catalina.core.ApplicationDispatcher.forward(ApplicationDispatcher.java:294)

    at org.sakaiproject.tool.impl.ActiveToolComponent$MyActiveTool.forward(ActiveToolComponent.java:508)

    at org.sakaiproject.portal.charon.SkinnableCharonPortal.forwardTool(SkinnableCharonPortal.java:1482)

    at org.sakaiproject.portal.charon.handlers.ToolHandler.doTool(ToolHandler.java:200)

    at org.sakaiproject.portal.charon.handlers.ToolHandler.doGet(ToolHandler.java:96)

    at org.sakaiproject.portal.charon.SkinnableCharonPortal.doGet(SkinnableCharonPortal.java:817)

    at javax.servlet.http.HttpServlet.service(HttpServlet.java:529)

    at javax.servlet.http.HttpServlet.service(HttpServlet.java:623)

    at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:209)

    at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153)

    at org.sakaiproject.util.RequestFilter.doFilter(RequestFilter.java:500)

    at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:178)

    at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153)

    at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:51)

    at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:178)

    at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153)

    at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:167)

    at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:90)

    at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:481)

    at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:130)

    at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:93)

    at org.apache.catalina.valves.RemoteIpValve.invoke(RemoteIpValve.java:768)

    at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:74)

    at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:343)

    at org.apache.coyote.http11.Http11Processor.service(Http11Processor.java:390)

    at org.apache.coyote.AbstractProcessorLight.process(AbstractProcessorLight.java:63)

    at org.apache.coyote.AbstractProtocol$ConnectionHandler.process(AbstractProtocol.java:926)

    at org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1791)

    at org.apache.tomcat.util.net.SocketProcessorBase.run(SocketProcessorBase.java:52)

    at org.apache.tomcat.util.threads.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1191)

    at org.apache.tomcat.util.threads.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:659)

    at org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61)

    at java.lang.Thread.run(Thread.java:829){noformat}"
Update Apache Commons Net 3.10.0,Bug,Closed,Sakai,software,"[https://commons.apache.org/proper/commons-net/changes-report.html#a3.10.0|https://commons.apache.org/proper/commons-net/changes-report.html#a3.10.0|smart-link] 



h3. Release 3.10.0 â€“ 2023-10-01

||Type||Changes||By||
|!add.gif|width=20,height=20,alt=""Add""!|Add and use DatagramSocketClient.setDefaultTimeout(Duration) and deprecate DatagramSocketClient.setDefaultTimeout(int). Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add and use TFTP.DEFAULT_TIMEOUT_DURATION and deprecate org.apache.commons.net.tftp.TFTP.DEFAULT_TIMEOUT. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add and use DatagramSocketClient#getSoTimeoutDuration(). Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add and use DatagramSocketClient#setSoTimeout(Duration). Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add and use DatagramSocketClient.checkOpen(). Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add TelnetClient.sendAYT(Duration). Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|TFTPServer implements AutoCloseable. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|DatagramSocketClient implements AutoCloseable. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add IMAP package tests, include junit-jupiter-params artifact #166. Thanks to KuKa, Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add Base64 missing tests and documentation fixes #161. Thanks to KuKa, Bruno P. Kinoshita.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add FTPFile tests and fix Javadoc typos #162. Thanks to KuKa, Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add IMAPReply tests and documentation fixes #165. Thanks to KuKa, Gary Gregory, Bruno P. Kinoshita.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|Delegate host resolution to Socket.connect() #138. Fixes [NET-650|https://issues.apache.org/jira/browse/NET-650]. Thanks to Matthew McGillis, exceptionfactory, sebbASF.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|Fixes many grammar issues and typos in JavaDoc and code comments #141. Thanks to Martin Wiesner, Gary Gregory, sebbASF.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|Remove redundant (null) initializations and other clean ups #155. Thanks to Martin Wiesner, Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|TFTPServer.setMaxTimeoutRetries() now throws IllegalArgumentException instead of RuntimeException. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|TFTPServer.setSocketTimeout() now throws IllegalArgumentException instead of RuntimeException. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|FTPCommand.checkArray() now throws IllegalStateException instead of RuntimeException. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|org.apache.commons.net.nntp.Threader now throws IllegalStateException instead of RuntimeException. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|POP3Command static initializer now throws IllegalStateException instead of RuntimeException. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|SMTPCommand static initializer now throws IllegalStateException instead of RuntimeException. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|SubnetUtils.SubnetInfo.getPreviousAddress() now throws IllegalStateException instead of RuntimeException. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|IMAPExportMbox.MboxListener.chunkReceived(IMAP) now throws UncheckedIOException instead of RuntimeException. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|IMAPUtils.imapLogin(URI, int, ProtocolCommandListener) now throws IOException instead of RuntimeException while maintaining method signature source compatibility. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|[StepSecurity] ci: Harden GitHub Actions #156. Thanks to step-security-bot, Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|Javadoc for FtpClient.setControlKeepAliveReplyTimeout(Duration) says timeout is in milliseconds. Fixes [NET-722|https://issues.apache.org/jira/browse/NET-722]. Thanks to David Costanzo, Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|Change class org.apache.commons.net.ftp.parser.MVSFTPEntryParser to support more datasets #182. Thanks to haegar9766, Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|Bulletproof TFTPServerPathTest #173. Thanks to Jakub Kupczyk, Bruno P. Kinoshita, Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|Deprecate org.apache.commons.net.util.Base64 in favor of java.util.Base64. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|Replace use of org.apache.commons.net.util.Base64 with java.util.Base64 in org.apache.commons.net.ftp. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|Replace use of org.apache.commons.net.util.Base64 with java.util.Base64 in org.apache.commons.net.imap. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|Replace use of org.apache.commons.net.util.Base64 with java.util.Base64 in org.apache.commons.net.pop3. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|Replace use of org.apache.commons.net.util.Base64 with java.util.Base64 in org.apache.commons.net.smtp. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!update.gif|width=20,height=20,alt=""Update""!|Bump commons-parent from 54 to 62 #132, #137, #153. Thanks to Dependabot.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!update.gif|width=20,height=20,alt=""Update""!|Bump commons-io from 2.11.0 to 2.14.0. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-net/team-list.html#ggregory]|
|!update.gif|width=20,height=20,alt=""Update""!|Bump commons-lang3 from 3.12.0 to 3.13.0. Thanks to Gary Gregory.| |"
Info icon in Worksite Setup tool shows incorrect site information,Bug,Verified,Sakai,software,"This does not occur on 23.x or Trunk at this time.

In Worksite Setup, if you hover over the info icon, it displays â€œMore information on this site.â€ However, if you click on the info icon to display more information on the site, it always shows the information for the site at the top of the list on the screen, regardless of which site info icon you select.

In the images below, you will see that the information for the first site in the list is displayed, even when info for a site further down the list is selected.

!2023-10-06_12-36-49.jpg|width=1112,height=599!

!2023-10-06_12-37-05.jpg|width=1077,height=681!"
Contrast Issues with Lessons Subpage Button Text,Bug,Closed,Sakai,software,"If you create subpages in Lessons and have them display as buttons, and you change the button color to something other than the default, the text contrast on the button label is problematic. 

If you are viewing the site in light mode, the light colored buttons are legible because the black text on the light colors (for example, gold or blue) has sufficient contrast. However, dark button colors (such as black or dark navy) have illegible text, since the black button labels do not adjust to the color of the button. See image below.

!lessons-subpage-buttons-lightmode.jpg|width=709,height=665!

However, if you switch to view the site in dark mode, now the colors are reversed and the light colored buttons have insufficient contrast, while the dark colored buttons are legible.

!Snag_16dc6bb.png|width=535,height=475!

The button label text needs to observe the color selected for the button and provide text with sufficient contrast for the button, rather than changing to the same color as the default page text when light/dark mode is selected. "
NPE viewing dashboard containing announcements merged from site user isn't a member of,Bug,Closed,Sakai,software,"{noformat}java.lang.NullPointerException: null                                                                                                                                                                                             
        at org.sakaiproject.webapi.controllers.AnnouncementsController.getSiteAnnouncements(AnnouncementsController.java:104) [classes/:?]
        at jdk.internal.reflect.GeneratedMethodAccessor5959.invoke(Unknown Source) ~[?:?]
        at jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[?:?]
        at java.lang.reflect.Method.invoke(Method.java:566) ~[?:?]
        at org.springframework.web.method.support.InvocableHandlerMethod.doInvoke(InvocableHandlerMethod.java:205) [spring-web-5.3.18.jar:5.3.18]{noformat}

This was caused by the fix in SAK-47863"
Instructor would like to see multiple submissions in the new grader interface,Feature Request,Resolved,Sakai,software,"Instructor would like to see the ability to see all the resubmission documents in the new grader interface as is in the old grader interface.

Here is what the old grader interface looks like.

!image-20231005-183418.png|width=562,height=224!"
"The ""Access: exam_name"" group is not created in Lessons with prerequisites unless a teacher navigates through the involved Lessons first. The exam remains inaccessible.",Bug,Closed,Sakai,software,"When importing content from one site to another, which is a common practice at the beginning of a course, when Lessons are structured with prerequisites and linked to exams, the instructor must navigate through each page of the Lesson so that students can access the exams. If this is not done, when the first student reaches an exam that has prerequisites, Sakai assigns the group ""Access: exam_name"" to that exam, but this group either gets deleted or is not created.

The exam becomes inaccessible to students (You do not have permission to access this assessment. Please contact your instructor if you have any questions.) and displays an error message for the instructor (Students are not able to take this assessment because the groups it was released to have been deleted. You must publish a new copy of this assessment.) Only when the instructor navigates to the Lessons page containing the exam does the ""Access"" group get created.

This behavior leads to issues for instructors who use this system. It shouldn't be necessary for the instructor to navigate through all the content for the ""Access"" group to be created."
Assignments: Missing cells in peer-review rows in assignment table ,Bug,Closed,Sakai,software,Peer review related rows in assignment table are missing cells. Also the open date cells not hide on small screens for this rows. 
